imname,grade
cow_1++_3741.jpg,1++
cow_2_3804.jpg,2
cow_1_5158.jpg,1
cow_3_3391.jpg,3
cow_1+_5420.jpg,1+
cow_3_3148.jpg,3
cow_2_3384.jpg,2
cow_1_4010.jpg,1
cow_1_2834.jpg,1
cow_1+_5124.jpg,1+
cow_1++_5797.jpg,1++
cow_1+_4392.jpg,1+
cow_1+_3421.jpg,1+
cow_1+_3346.jpg,1+
cow_1++_5679.jpg,1++
cow_3_2104.jpg,3
cow_2_2781.jpg,2
cow_3_759.jpg,3
cow_2_2225.jpg,2
cow_3_1536.jpg,3
cow_2_70.jpg,2
cow_1++_4284.jpg,1++
cow_1++_3188.jpg,1++
cow_1+_356.jpg,1+
cow_1++_3160.jpg,1++
cow_1_500.jpg,1
cow_1+_4935.jpg,1+
cow_1+_1765.jpg,1+
cow_1+_567.jpg,1+
cow_1_3379.jpg,1
cow_1+_4562.jpg,1+
cow_3_2570.jpg,3
cow_1++_4024.jpg,1++
cow_2_1365.jpg,2
cow_1_588.jpg,1
cow_1++_639.jpg,1++
cow_3_1617.jpg,3
cow_1_74.jpg,1
cow_3_1348.jpg,3
cow_1++_4809.jpg,1++
cow_1++_1535.jpg,1++
cow_1_1955.jpg,1
cow_1_801.jpg,1
cow_1+_79.jpg,1+
cow_1+_2738.jpg,1+
cow_1+_1120.jpg,1+
cow_2_4691.jpg,2
cow_1_1470.jpg,1
cow_1+_2483.jpg,1+
cow_3_1244.jpg,3
cow_1_1926.jpg,1
cow_3_3066.jpg,3
cow_2_2810.jpg,2
cow_1_1570.jpg,1
cow_3_696.jpg,3
cow_1_2547.jpg,1
cow_1++_1160.jpg,1++
cow_1+_2545.jpg,1+
cow_2_920.jpg,2
cow_2_4161.jpg,2
cow_1_1427.jpg,1
cow_1_1284.jpg,1
cow_1+_2917.jpg,1+
cow_1+_2879.jpg,1+
cow_2_3019.jpg,2
cow_1++_713.jpg,1++
cow_1+_4838.jpg,1+
cow_1++_3293.jpg,1++
cow_1+_3822.jpg,1+
cow_1_3696.jpg,1
cow_1+_2292.jpg,1+
cow_2_4459.jpg,2
cow_1_2754.jpg,1
cow_1++_3785.jpg,1++
cow_1+_2631.jpg,1+
cow_1_2010.jpg,1
cow_2_238.jpg,2
cow_1+_3642.jpg,1+
cow_2_4334.jpg,2
cow_1_4825.jpg,1
cow_1++_1103.jpg,1++
cow_1+_1701.jpg,1+
cow_1+_5108.jpg,1+
cow_1_1699.jpg,1
cow_1_3572.jpg,1
cow_1+_3167.jpg,1+
cow_2_574.jpg,2
cow_1++_4682.jpg,1++
cow_1+_3317.jpg,1+
cow_3_2693.jpg,3
cow_1+_5901.jpg,1+
cow_1++_1678.jpg,1++
cow_1+_3154.jpg,1+
cow_1+_5455.jpg,1+
cow_1_2008.jpg,1
cow_1++_4017.jpg,1++
cow_2_5144.jpg,2
cow_1+_4901.jpg,1+
cow_1++_183.jpg,1++
cow_1++_2928.jpg,1++
cow_1++_804.jpg,1++
cow_1_5425.jpg,1
cow_2_758.jpg,2
cow_1_3606.jpg,1
cow_1_4163.jpg,1
cow_1_1002.jpg,1
cow_1+_3998.jpg,1+
cow_1++_5988.jpg,1++
cow_3_1704.jpg,3
cow_2_2893.jpg,2
cow_1_838.jpg,1
cow_3_1180.jpg,3
cow_3_2375.jpg,3
cow_1++_3674.jpg,1++
cow_1+_715.jpg,1+
cow_1+_2677.jpg,1+
cow_1++_4675.jpg,1++
cow_3_2769.jpg,3
cow_1+_5700.jpg,1+
cow_1+_3640.jpg,1+
cow_1+_1149.jpg,1+
cow_2_5178.jpg,2
cow_1++_740.jpg,1++
cow_1++_5254.jpg,1++
cow_1_2496.jpg,1
cow_1++_3640.jpg,1++
cow_1+_3212.jpg,1+
cow_1+_5502.jpg,1+
cow_1_5089.jpg,1
cow_2_2987.jpg,2
cow_1+_2197.jpg,1+
cow_2_3142.jpg,2
cow_1_3944.jpg,1
cow_1_3082.jpg,1
cow_1_1235.jpg,1
cow_3_3009.jpg,3
cow_1++_2114.jpg,1++
cow_1++_1123.jpg,1++
cow_1++_2308.jpg,1++
cow_1++_1002.jpg,1++
cow_1+_3505.jpg,1+
cow_3_1325.jpg,3
cow_2_4595.jpg,2
cow_1++_750.jpg,1++
cow_1_676.jpg,1
cow_1++_3744.jpg,1++
cow_2_970.jpg,2
cow_1_4077.jpg,1
cow_1+_1718.jpg,1+
cow_1+_2212.jpg,1+
cow_1+_2614.jpg,1+
cow_2_2023.jpg,2
cow_1+_3934.jpg,1+
cow_3_1568.jpg,3
cow_3_456.jpg,3
cow_1++_678.jpg,1++
cow_1++_244.jpg,1++
cow_1_4142.jpg,1
cow_1_526.jpg,1
cow_1+_2769.jpg,1+
cow_2_3680.jpg,2
cow_1+_397.jpg,1+
cow_1++_3003.jpg,1++
cow_1++_3972.jpg,1++
cow_3_3954.jpg,3
cow_3_3710.jpg,3
cow_2_926.jpg,2
cow_1++_2779.jpg,1++
cow_1++_879.jpg,1++
cow_1_2810.jpg,1
cow_1+_4771.jpg,1+
cow_1++_5986.jpg,1++
cow_1+_4149.jpg,1+
cow_1++_4568.jpg,1++
cow_3_1420.jpg,3
cow_2_3970.jpg,2
cow_1_4524.jpg,1
cow_1+_2526.jpg,1+
cow_1+_4693.jpg,1+
cow_1++_1797.jpg,1++
cow_2_792.jpg,2
cow_3_1463.jpg,3
cow_1++_3029.jpg,1++
cow_1++_2927.jpg,1++
cow_3_3688.jpg,3
cow_2_208.jpg,2
cow_2_3085.jpg,2
cow_1++_5304.jpg,1++
cow_2_5160.jpg,2
cow_1_3232.jpg,1
cow_1_3284.jpg,1
cow_1+_3079.jpg,1+
cow_1_331.jpg,1
cow_1+_1861.jpg,1+
cow_1_1537.jpg,1
cow_3_505.jpg,3
cow_1_4057.jpg,1
cow_2_4364.jpg,2
cow_1_4692.jpg,1
cow_3_2497.jpg,3
cow_3_2730.jpg,3
cow_2_2316.jpg,2
cow_1_2772.jpg,1
cow_1_2285.jpg,1
cow_2_2840.jpg,2
cow_1++_4091.jpg,1++
cow_1+_4520.jpg,1+
cow_1++_3728.jpg,1++
cow_1+_5035.jpg,1+
cow_3_2871.jpg,3
cow_2_3262.jpg,2
cow_2_5599.jpg,2
cow_2_4538.jpg,2
cow_3_3077.jpg,3
cow_2_1645.jpg,2
cow_1_5815.jpg,1
cow_3_1646.jpg,3
cow_1+_4431.jpg,1+
cow_1++_101.jpg,1++
cow_1+_5029.jpg,1+
cow_1_3557.jpg,1
cow_1+_5912.jpg,1+
cow_1++_320.jpg,1++
cow_1++_1614.jpg,1++
cow_1_3288.jpg,1
cow_3_3286.jpg,3
cow_1_5974.jpg,1
cow_1++_371.jpg,1++
cow_2_5368.jpg,2
cow_2_933.jpg,2
cow_1_2359.jpg,1
cow_3_3129.jpg,3
cow_1+_491.jpg,1+
cow_2_666.jpg,2
cow_1++_4911.jpg,1++
cow_2_4020.jpg,2
cow_3_424.jpg,3
cow_1_5526.jpg,1
cow_2_2271.jpg,2
cow_1+_786.jpg,1+
cow_1_3791.jpg,1
cow_2_2222.jpg,2
cow_2_4454.jpg,2
cow_3_526.jpg,3
cow_3_1298.jpg,3
cow_1++_5297.jpg,1++
cow_1_3454.jpg,1
cow_1++_3579.jpg,1++
cow_1++_5162.jpg,1++
cow_1+_1256.jpg,1+
cow_1+_5529.jpg,1+
cow_3_787.jpg,3
cow_2_3455.jpg,2
cow_1_2784.jpg,1
cow_2_3860.jpg,2
cow_1++_4124.jpg,1++
cow_1+_4469.jpg,1+
cow_1++_3958.jpg,1++
cow_1++_4510.jpg,1++
cow_1++_626.jpg,1++
cow_1+_1917.jpg,1+
cow_2_2935.jpg,2
cow_1_5595.jpg,1
cow_1++_3345.jpg,1++
cow_1++_4065.jpg,1++
cow_1+_351.jpg,1+
cow_1++_1755.jpg,1++
cow_1_3104.jpg,1
cow_2_1687.jpg,2
cow_1_5870.jpg,1
cow_1+_3695.jpg,1+
cow_1+_123.jpg,1+
cow_1+_3752.jpg,1+
cow_1_48.jpg,1
cow_1++_4532.jpg,1++
cow_1_5767.jpg,1
cow_1_544.jpg,1
cow_2_5266.jpg,2
cow_2_3327.jpg,2
cow_1++_555.jpg,1++
cow_2_3567.jpg,2
cow_3_2216.jpg,3
cow_1+_5564.jpg,1+
cow_2_850.jpg,2
cow_3_407.jpg,3
cow_1++_2594.jpg,1++
cow_1+_3926.jpg,1+
cow_1+_4377.jpg,1+
cow_1+_3919.jpg,1+
cow_1_2229.jpg,1
cow_1++_128.jpg,1++
cow_1+_478.jpg,1+
cow_2_4418.jpg,2
cow_2_3216.jpg,2
cow_3_3734.jpg,3
cow_1+_2439.jpg,1+
cow_2_336.jpg,2
cow_1_1683.jpg,1
cow_2_4185.jpg,2
cow_1+_3584.jpg,1+
cow_1_4449.jpg,1
cow_1_997.jpg,1
cow_1_4017.jpg,1
cow_1+_4529.jpg,1+
cow_2_2181.jpg,2
cow_2_3628.jpg,2
cow_2_72.jpg,2
cow_1+_3104.jpg,1+
cow_3_1602.jpg,3
cow_1_4288.jpg,1
cow_1++_3166.jpg,1++
cow_1++_5151.jpg,1++
cow_1++_2913.jpg,1++
cow_1_5535.jpg,1
cow_3_2744.jpg,3
cow_1_5097.jpg,1
cow_1+_571.jpg,1+
cow_1+_1212.jpg,1+
cow_1+_5245.jpg,1+
cow_1+_5792.jpg,1+
cow_1+_1004.jpg,1+
cow_2_4719.jpg,2
cow_1++_4895.jpg,1++
cow_1+_3229.jpg,1+
cow_2_3215.jpg,2
cow_1_4444.jpg,1
cow_1+_408.jpg,1+
cow_1++_1769.jpg,1++
cow_1++_2739.jpg,1++
cow_1+_5985.jpg,1+
cow_3_1189.jpg,3
cow_1+_415.jpg,1+
cow_1_43.jpg,1
cow_1+_72.jpg,1+
cow_1++_4687.jpg,1++
cow_1_1103.jpg,1
cow_3_2928.jpg,3
cow_2_2440.jpg,2
cow_1+_2112.jpg,1+
cow_1+_2298.jpg,1+
cow_1++_3647.jpg,1++
cow_2_2862.jpg,2
cow_1+_4740.jpg,1+
cow_1++_4964.jpg,1++
cow_1++_4768.jpg,1++
cow_1++_3642.jpg,1++
cow_2_3831.jpg,2
cow_1_4087.jpg,1
cow_1++_5591.jpg,1++
cow_1+_3870.jpg,1+
cow_1_4923.jpg,1
cow_1++_3396.jpg,1++
cow_2_4707.jpg,2
cow_1+_5819.jpg,1+
cow_1_2394.jpg,1
cow_1++_3597.jpg,1++
cow_1++_3696.jpg,1++
cow_3_2044.jpg,3
cow_1_4865.jpg,1
cow_3_486.jpg,3
cow_1++_1424.jpg,1++
cow_1_4748.jpg,1
cow_1_1300.jpg,1
cow_3_1612.jpg,3
cow_1++_4963.jpg,1++
cow_1+_3937.jpg,1+
cow_1++_2857.jpg,1++
cow_1+_5047.jpg,1+
cow_1++_1352.jpg,1++
cow_1++_3086.jpg,1++
cow_1+_728.jpg,1+
cow_1_4287.jpg,1
cow_1+_2542.jpg,1+
cow_1+_4898.jpg,1+
cow_2_2328.jpg,2
cow_2_4921.jpg,2
cow_3_3150.jpg,3
cow_1++_2302.jpg,1++
cow_1_5803.jpg,1
cow_2_4638.jpg,2
cow_1++_1367.jpg,1++
cow_3_3179.jpg,3
cow_1_1162.jpg,1
cow_1+_4448.jpg,1+
cow_1+_122.jpg,1+
cow_3_2934.jpg,3
cow_1_4069.jpg,1
cow_1++_3126.jpg,1++
cow_1++_4436.jpg,1++
cow_1++_1234.jpg,1++
cow_1+_2602.jpg,1+
cow_1_1657.jpg,1
cow_3_3061.jpg,3
cow_1++_1709.jpg,1++
cow_2_5257.jpg,2
cow_1++_2138.jpg,1++
cow_2_1193.jpg,2
cow_2_4947.jpg,2
cow_1++_3144.jpg,1++
cow_3_906.jpg,3
cow_1_1902.jpg,1
cow_1++_2905.jpg,1++
cow_1++_5131.jpg,1++
cow_2_733.jpg,2
cow_3_1512.jpg,3
cow_1_2869.jpg,1
cow_1_4473.jpg,1
cow_1_5471.jpg,1
cow_2_5455.jpg,2
cow_1++_4087.jpg,1++
cow_3_3661.jpg,3
cow_3_1526.jpg,3
cow_1++_2438.jpg,1++
cow_3_1208.jpg,3
cow_3_2678.jpg,3
cow_1+_23.jpg,1+
cow_1++_4212.jpg,1++
cow_1++_693.jpg,1++
cow_3_2157.jpg,3
cow_2_1160.jpg,2
cow_1++_2171.jpg,1++
cow_3_3983.jpg,3
cow_3_1243.jpg,3
cow_1++_5444.jpg,1++
cow_1++_1872.jpg,1++
cow_1++_1630.jpg,1++
cow_1+_1025.jpg,1+
cow_2_4955.jpg,2
cow_1+_2950.jpg,1+
cow_1+_206.jpg,1+
cow_1_4769.jpg,1
cow_2_1990.jpg,2
cow_1_750.jpg,1
cow_1_1809.jpg,1
cow_3_571.jpg,3
cow_1++_5982.jpg,1++
cow_1++_2139.jpg,1++
cow_1++_845.jpg,1++
cow_2_4215.jpg,2
cow_1_3472.jpg,1
cow_1++_5750.jpg,1++
cow_1_4809.jpg,1
cow_3_1343.jpg,3
cow_3_2417.jpg,3
cow_1_5604.jpg,1
cow_3_3822.jpg,3
cow_1++_4158.jpg,1++
cow_1++_4503.jpg,1++
cow_1+_3007.jpg,1+
cow_1++_3851.jpg,1++
cow_1+_4258.jpg,1+
cow_1++_270.jpg,1++
cow_3_2328.jpg,3
cow_1++_4764.jpg,1++
cow_2_3181.jpg,2
cow_1+_2880.jpg,1+
cow_3_1777.jpg,3
cow_2_5379.jpg,2
cow_1_2267.jpg,1
cow_1++_982.jpg,1++
cow_1++_5917.jpg,1++
cow_3_447.jpg,3
cow_1+_4249.jpg,1+
cow_3_3620.jpg,3
cow_1_3946.jpg,1
cow_1+_3323.jpg,1+
cow_1_1260.jpg,1
cow_1_964.jpg,1
cow_1++_4812.jpg,1++
cow_3_1505.jpg,3
cow_1+_2291.jpg,1+
cow_1_637.jpg,1
cow_1_3730.jpg,1
cow_2_4285.jpg,2
cow_2_2324.jpg,2
cow_3_2319.jpg,3
cow_1+_496.jpg,1+
cow_2_5038.jpg,2
cow_1+_3527.jpg,1+
cow_2_3263.jpg,2
cow_1_1915.jpg,1
cow_1_1992.jpg,1
cow_2_5895.jpg,2
cow_2_257.jpg,2
cow_1_1174.jpg,1
cow_2_43.jpg,2
cow_1++_5963.jpg,1++
cow_1_2969.jpg,1
cow_3_1524.jpg,3
cow_1_3682.jpg,1
cow_2_316.jpg,2
cow_2_1403.jpg,2
cow_1++_2162.jpg,1++
cow_2_875.jpg,2
cow_1+_3685.jpg,1+
cow_3_762.jpg,3
cow_1+_719.jpg,1+
cow_1+_4130.jpg,1+
cow_1_3526.jpg,1
cow_1_5641.jpg,1
cow_1++_4882.jpg,1++
cow_1++_834.jpg,1++
cow_1+_1520.jpg,1+
cow_1_2791.jpg,1
cow_1+_372.jpg,1+
cow_1+_4947.jpg,1+
cow_3_1971.jpg,3
cow_2_5319.jpg,2
cow_1++_5199.jpg,1++
cow_2_1831.jpg,2
cow_1++_5289.jpg,1++
cow_1++_4457.jpg,1++
cow_1++_2981.jpg,1++
cow_1++_4110.jpg,1++
cow_3_2190.jpg,3
cow_1++_1884.jpg,1++
cow_3_824.jpg,3
cow_1_1225.jpg,1
cow_1+_4824.jpg,1+
cow_1++_5196.jpg,1++
cow_3_2181.jpg,3
cow_1+_1418.jpg,1+
cow_1_61.jpg,1
cow_1_5111.jpg,1
cow_2_4813.jpg,2
cow_3_3674.jpg,3
cow_2_3690.jpg,2
cow_3_2569.jpg,3
cow_1_3931.jpg,1
cow_1+_5618.jpg,1+
cow_1++_1442.jpg,1++
cow_1_4705.jpg,1
cow_1+_4782.jpg,1+
cow_1++_1014.jpg,1++
cow_3_468.jpg,3
cow_3_259.jpg,3
cow_1_440.jpg,1
cow_2_2257.jpg,2
cow_1+_29.jpg,1+
cow_2_4256.jpg,2
cow_2_3152.jpg,2
cow_2_4981.jpg,2
cow_1++_4713.jpg,1++
cow_3_2887.jpg,3
cow_1+_4558.jpg,1+
cow_1++_4811.jpg,1++
cow_1++_4353.jpg,1++
cow_2_4410.jpg,2
cow_1++_4874.jpg,1++
cow_1+_3207.jpg,1+
cow_3_558.jpg,3
cow_1++_53.jpg,1++
cow_1+_5892.jpg,1+
cow_1++_220.jpg,1++
cow_1++_1682.jpg,1++
cow_1++_2835.jpg,1++
cow_1_5177.jpg,1
cow_1+_1594.jpg,1+
cow_2_3565.jpg,2
cow_1++_369.jpg,1++
cow_2_3002.jpg,2
cow_2_87.jpg,2
cow_1_3019.jpg,1
cow_1++_4103.jpg,1++
cow_3_2922.jpg,3
cow_1+_1383.jpg,1+
cow_1+_84.jpg,1+
cow_1_1384.jpg,1
cow_1++_5694.jpg,1++
cow_2_2961.jpg,2
cow_1+_4610.jpg,1+
cow_1++_2105.jpg,1++
cow_1+_916.jpg,1+
cow_2_4361.jpg,2
cow_1_2517.jpg,1
cow_3_1552.jpg,3
cow_3_479.jpg,3
cow_1++_500.jpg,1++
cow_1_2789.jpg,1
cow_1_133.jpg,1
cow_1_3662.jpg,1
cow_1++_1591.jpg,1++
cow_1_1096.jpg,1
cow_1+_5254.jpg,1+
cow_1+_2014.jpg,1+
cow_1+_2884.jpg,1+
cow_1++_60.jpg,1++
cow_1++_405.jpg,1++
cow_1_5300.jpg,1
cow_1++_2459.jpg,1++
cow_1+_4638.jpg,1+
cow_2_5205.jpg,2
cow_1_5706.jpg,1
cow_1++_4491.jpg,1++
cow_3_2465.jpg,3
cow_1++_4249.jpg,1++
cow_1++_880.jpg,1++
cow_1++_2378.jpg,1++
cow_1_5122.jpg,1
cow_1++_4929.jpg,1++
cow_1_2026.jpg,1
cow_1++_531.jpg,1++
cow_1_193.jpg,1
cow_1_3732.jpg,1
cow_1_711.jpg,1
cow_1_4871.jpg,1
cow_1_5287.jpg,1
cow_1_4190.jpg,1
cow_1+_2477.jpg,1+
cow_2_4224.jpg,2
cow_3_883.jpg,3
cow_2_679.jpg,2
cow_2_4437.jpg,2
cow_2_148.jpg,2
cow_2_4383.jpg,2
cow_3_3250.jpg,3
cow_2_5502.jpg,2
cow_2_483.jpg,2
cow_1++_1051.jpg,1++
cow_2_0.jpg,2
cow_1_5733.jpg,1
cow_1++_5251.jpg,1++
cow_3_664.jpg,3
cow_1++_1778.jpg,1++
cow_3_1508.jpg,3
cow_1_3505.jpg,1
cow_1++_1088.jpg,1++
cow_1++_797.jpg,1++
cow_1+_735.jpg,1+
cow_1++_2492.jpg,1++
cow_2_973.jpg,2
cow_1_5719.jpg,1
cow_2_533.jpg,2
cow_3_2367.jpg,3
cow_1_4035.jpg,1
cow_2_3503.jpg,2
cow_2_5015.jpg,2
cow_1++_5236.jpg,1++
cow_2_2660.jpg,2
cow_2_1640.jpg,2
cow_1_1230.jpg,1
cow_2_4357.jpg,2
cow_1+_4519.jpg,1+
cow_1_5129.jpg,1
cow_1+_1405.jpg,1+
cow_1+_2575.jpg,1+
cow_1_3347.jpg,1
cow_1+_138.jpg,1+
cow_1_3912.jpg,1
cow_1+_5000.jpg,1+
cow_1_250.jpg,1
cow_1+_979.jpg,1+
cow_2_1796.jpg,2
cow_3_393.jpg,3
cow_1_1398.jpg,1
cow_1+_5974.jpg,1+
cow_1_2891.jpg,1
cow_2_5651.jpg,2
cow_3_2408.jpg,3
cow_1++_276.jpg,1++
cow_2_2531.jpg,2
cow_1++_1729.jpg,1++
cow_1+_5104.jpg,1+
cow_2_2923.jpg,2
cow_1++_4815.jpg,1++
cow_1_4055.jpg,1
cow_2_3601.jpg,2
cow_1+_1918.jpg,1+
cow_2_462.jpg,2
cow_3_575.jpg,3
cow_3_2721.jpg,3
cow_1++_745.jpg,1++
cow_1++_2191.jpg,1++
cow_1_5864.jpg,1
cow_2_1778.jpg,2
cow_3_1944.jpg,3
cow_1++_3789.jpg,1++
cow_1_3403.jpg,1
cow_1_5105.jpg,1
cow_1_1266.jpg,1
cow_2_4415.jpg,2
cow_1_5848.jpg,1
cow_1_1219.jpg,1
cow_1+_584.jpg,1+
cow_1+_4679.jpg,1+
cow_1_1627.jpg,1
cow_3_1254.jpg,3
cow_1_5887.jpg,1
cow_2_4820.jpg,2
cow_1_3130.jpg,1
cow_1_494.jpg,1
cow_1_4265.jpg,1
cow_3_1979.jpg,3
cow_3_2454.jpg,3
cow_3_3400.jpg,3
cow_3_3347.jpg,3
cow_3_846.jpg,3
cow_2_5395.jpg,2
cow_1+_743.jpg,1+
cow_1++_1663.jpg,1++
cow_1_890.jpg,1
cow_1_1852.jpg,1
cow_1_5413.jpg,1
cow_1+_1407.jpg,1+
cow_1++_2878.jpg,1++
cow_1+_5852.jpg,1+
cow_2_5023.jpg,2
cow_1++_5725.jpg,1++
cow_1+_3917.jpg,1+
cow_1+_5835.jpg,1+
cow_2_3589.jpg,2
cow_2_2690.jpg,2
cow_3_3994.jpg,3
cow_1++_1070.jpg,1++
cow_1++_3551.jpg,1++
cow_1+_1026.jpg,1+
cow_1++_1330.jpg,1++
cow_1_4238.jpg,1
cow_1+_262.jpg,1+
cow_1++_1554.jpg,1++
cow_1_1983.jpg,1
cow_1+_5627.jpg,1+
cow_3_1573.jpg,3
cow_2_5747.jpg,2
cow_1+_4382.jpg,1+
cow_1_3994.jpg,1
cow_2_4172.jpg,2
cow_1+_5959.jpg,1+
cow_1_2588.jpg,1
cow_2_2867.jpg,2
cow_1++_1547.jpg,1++
cow_1+_4854.jpg,1+
cow_1++_5012.jpg,1++
cow_1_2044.jpg,1
cow_1+_5364.jpg,1+
cow_1++_5936.jpg,1++
cow_1_967.jpg,1
cow_1++_782.jpg,1++
cow_1+_2959.jpg,1+
cow_3_529.jpg,3
cow_2_4325.jpg,2
cow_2_2377.jpg,2
cow_3_3718.jpg,3
cow_1_3693.jpg,1
cow_1++_496.jpg,1++
cow_1++_1061.jpg,1++
cow_1++_3606.jpg,1++
cow_1_5053.jpg,1
cow_2_5746.jpg,2
cow_2_3039.jpg,2
cow_3_2796.jpg,3
cow_3_3525.jpg,3
cow_2_1022.jpg,2
cow_1+_3073.jpg,1+
cow_3_1355.jpg,3
cow_1+_5391.jpg,1+
cow_1+_5457.jpg,1+
cow_2_303.jpg,2
cow_1_4558.jpg,1
cow_2_2802.jpg,2
cow_1_26.jpg,1
cow_1_3724.jpg,1
cow_2_1140.jpg,2
cow_1+_642.jpg,1+
cow_1++_3289.jpg,1++
cow_3_3449.jpg,3
cow_2_3034.jpg,2
cow_1_98.jpg,1
cow_1_4674.jpg,1
cow_1_989.jpg,1
cow_1_3384.jpg,1
cow_1++_761.jpg,1++
cow_2_1084.jpg,2
cow_3_1016.jpg,3
cow_1_656.jpg,1
cow_1_5772.jpg,1
cow_1_5568.jpg,1
cow_1_2544.jpg,1
cow_1++_1994.jpg,1++
cow_1+_603.jpg,1+
cow_1_4397.jpg,1
cow_1+_1248.jpg,1+
cow_1+_752.jpg,1+
cow_2_2611.jpg,2
cow_2_1942.jpg,2
cow_3_3727.jpg,3
cow_3_2403.jpg,3
cow_1++_3116.jpg,1++
cow_1+_1285.jpg,1+
cow_1_806.jpg,1
cow_1++_2584.jpg,1++
cow_1++_114.jpg,1++
cow_1_1839.jpg,1
cow_1+_368.jpg,1+
cow_2_2699.jpg,2
cow_2_1156.jpg,2
cow_3_3257.jpg,3
cow_1+_2672.jpg,1+
cow_1_2596.jpg,1
cow_3_3070.jpg,3
cow_3_2251.jpg,3
cow_1++_4577.jpg,1++
cow_1_1468.jpg,1
cow_1+_3765.jpg,1+
cow_1_1641.jpg,1
cow_3_654.jpg,3
cow_1++_4848.jpg,1++
cow_1_3559.jpg,1
cow_1++_3260.jpg,1++
cow_1++_2185.jpg,1++
cow_2_610.jpg,2
cow_1+_326.jpg,1+
cow_2_4506.jpg,2
cow_1_2470.jpg,1
cow_1_4679.jpg,1
cow_1_4834.jpg,1
cow_1++_331.jpg,1++
cow_1+_5821.jpg,1+
cow_1+_5645.jpg,1+
cow_1_3075.jpg,1
cow_1+_5800.jpg,1+
cow_1++_1831.jpg,1++
cow_3_293.jpg,3
cow_1_4970.jpg,1
cow_2_4257.jpg,2
cow_2_4660.jpg,2
cow_2_5936.jpg,2
cow_1++_525.jpg,1++
cow_1+_2257.jpg,1+
cow_1++_587.jpg,1++
cow_1++_533.jpg,1++
cow_1++_4819.jpg,1++
cow_2_2044.jpg,2
cow_1_3704.jpg,1
cow_2_3326.jpg,2
cow_1++_5368.jpg,1++
cow_1++_599.jpg,1++
cow_1+_282.jpg,1+
cow_1+_3120.jpg,1+
cow_2_2273.jpg,2
cow_1++_5271.jpg,1++
cow_1++_4745.jpg,1++
cow_1_5310.jpg,1
cow_1_1660.jpg,1
cow_3_2786.jpg,3
cow_2_3929.jpg,2
cow_2_2578.jpg,2
cow_1_4465.jpg,1
cow_2_3340.jpg,2
cow_1_1293.jpg,1
cow_1++_312.jpg,1++
cow_3_1295.jpg,3
cow_1+_2929.jpg,1+
cow_2_4198.jpg,2
cow_2_4331.jpg,2
cow_1+_3267.jpg,1+
cow_1_285.jpg,1
cow_1+_5734.jpg,1+
cow_1++_2350.jpg,1++
cow_2_5397.jpg,2
cow_2_1211.jpg,2
